file,n_channels,channel_names,sampling_rate_hz,duration_sec,markers_found,error
raweeg_01m/B01_00/B01_00.edf,53,"EEG FP1-R_Fp1[FP, EEG FPZ-R_Fpz[FP, EEG FP2-R_Fp2[FP, EEG F7-R_F7[F7], EEG F3-R_F3[F3], EEG FZ-R_Fz[FZ], EEG F4-R_F4[F4], EEG F8-R_F8[F8], EEG C3-R_C3[C3], EEG CZ-R_Cz[CZ], EEG C4-R_C4[C4], EEG P3-R_P3[P3], EEG PZ-R_Pz[PZ], EEG P4-R_P4[P4], EEG O1-R_O1[O1], EEG OZ-R_Oz[OZ], EEG O2-R_O2[O2], EEG A1-R_A1[A1], EEG A2-R_A2[A2], ECG  2-R_ECG-LA[, EEG 3-R_P7[3], EEG 7-R_Flow[7], EEG 8-R_Abdomen[, EEG 9-R_Chest[9], EEG 11-R_RLEG+[1, EEG 12-R_E2[12], SAO2 SpO2, POSITION DC1, EEG 16-R_PPG[16], EEG 19-R_P8[19], EEG 20-R_T7[20], EEG 21-R_T8[21], EEG 22-R_X25[22], EEG 23-R_X26[23], EEG 24-R_X28[24], EEG 25-R_X29[25], EEG 26-R_X30[26], EEG 27-R_X31[27], EEG 28-R_X32[28], EEG 29-R_ECG-RA[, EEG 30-R_ECG-LL[, EEG 31-R_ECG-V1[, EEG 32-R_ECG-V2[, EEG 33-R_E1[33], EEG 34-R_CHIN1[3, EEG 35-R_CHIN2[3, EEG 36-R_CHINz[3, EEG 37-R_DIF1+[3, EEG 38-R_DIF1-[3, EEG 39-R_DIF2+[3, EEG 40-R_DIF2-[4, EEG 41-R_DIF3+[4, EEG 42-R_DIF3-[4",512.0,597.0,"1(eventComment)(x1), 2(eventComment)(x1), R(eventComment)(x2)",
raweeg_01m/B01_01T/B01_01TR1.edf,53,"EEG FP1-R_Fp1[FP, EEG FPZ-R_Fpz[FP, EEG FP2-R_Fp2[FP, EEG F7-R_F7[F7], EEG F3-R_F3[F3], EEG FZ-R_Fz[FZ], EEG F4-R_F4[F4], EEG F8-R_F8[F8], EEG C3-R_C3[C3], EEG CZ-R_Cz[CZ], EEG C4-R_C4[C4], EEG P3-R_P3[P3], EEG PZ-R_Pz[PZ], EEG P4-R_P4[P4], EEG O1-R_O1[O1], EEG OZ-R_Oz[OZ], EEG O2-R_O2[O2], EEG A1-R_A1[A1], EEG A2-R_A2[A2], ECG  2-R_ECG-LA[, EEG 3-R_P7[3], EEG 7-R_Flow[7], EEG 8-R_Abdomen[, EEG 9-R_Chest[9], EEG 11-R_RLEG+[1, EEG 12-R_E2[12], SAO2 SpO2, POSITION DC1, EEG 16-R_PPG[16], EEG 19-R_P8[19], EEG 20-R_T7[20], EEG 21-R_T8[21], EEG 22-R_X25[22], EEG 23-R_X26[23], EEG 24-R_X28[24], EEG 25-R_X29[25], EEG 26-R_X30[26], EEG 27-R_X31[27], EEG 28-R_X32[28], EEG 29-R_ECG-RA[, EEG 30-R_ECG-LL[, EEG 31-R_ECG-V1[, EEG 32-R_ECG-V2[, EEG 33-R_E1[33], EEG 34-R_CHIN1[3, EEG 35-R_CHIN2[3, EEG 36-R_CHINz[3, EEG 37-R_DIF1+[3, EEG 38-R_DIF1-[3, EEG 39-R_DIF2+[3, EEG 40-R_DIF2-[4, EEG 41-R_DIF3+[4, EEG 42-R_DIF3-[4",512.0,597.0,"1(eventComment)(x1), 2(eventComment)(x1), R(eventComment)(x6), 3A(eventComment)(x1), 0(eventComment)(x3), 3B(eventComment)(x1), 4(eventComment)(x1), 5(eventComment)(x1)",
raweeg_01m/B01_01T/B01_01TR2.edf,53,"EEG FP1-R_Fp1[FP, EEG FPZ-R_Fpz[FP, EEG FP2-R_Fp2[FP, EEG F7-R_F7[F7], EEG F3-R_F3[F3], EEG FZ-R_Fz[FZ], EEG F4-R_F4[F4], EEG F8-R_F8[F8], EEG C3-R_C3[C3], EEG CZ-R_Cz[CZ], EEG C4-R_C4[C4], EEG P3-R_P3[P3], EEG PZ-R_Pz[PZ], EEG P4-R_P4[P4], EEG O1-R_O1[O1], EEG OZ-R_Oz[OZ], EEG O2-R_O2[O2], EEG A1-R_A1[A1], EEG A2-R_A2[A2], ECG  2-R_ECG-LA[, EEG 3-R_P7[3], EEG 7-R_Flow[7], EEG 8-R_Abdomen[, EEG 9-R_Chest[9], EEG 11-R_RLEG+[1, EEG 12-R_E2[12], SAO2 SpO2, POSITION DC1, EEG 16-R_PPG[16], EEG 19-R_P8[19], EEG 20-R_T7[20], EEG 21-R_T8[21], EEG 22-R_X25[22], EEG 23-R_X26[23], EEG 24-R_X28[24], EEG 25-R_X29[25], EEG 26-R_X30[26], EEG 27-R_X31[27], EEG 28-R_X32[28], EEG 29-R_ECG-RA[, EEG 30-R_ECG-LL[, EEG 31-R_ECG-V1[, EEG 32-R_ECG-V2[, EEG 33-R_E1[33], EEG 34-R_CHIN1[3, EEG 35-R_CHIN2[3, EEG 36-R_CHINz[3, EEG 37-R_DIF1+[3, EEG 38-R_DIF1-[3, EEG 39-R_DIF2+[3, EEG 40-R_DIF2-[4, EEG 41-R_DIF3+[4, EEG 42-R_DIF3-[4",512.0,597.0,"3A(eventComment)(x1), 0(eventComment)(x5), 3B(eventComment)(x1), R(eventComment)(x8), 4(eventComment)(x1), 5(eventComment)(x1), 6(eventComment)(x1)",
raweeg_01m/B01_01T/B01_01TR3.edf,53,"EEG FP1-R_Fp1[FP, EEG FPZ-R_Fpz[FP, EEG FP2-R_Fp2[FP, EEG F7-R_F7[F7], EEG F3-R_F3[F3], EEG FZ-R_Fz[FZ], EEG F4-R_F4[F4], EEG F8-R_F8[F8], EEG C3-R_C3[C3], EEG CZ-R_Cz[CZ], EEG C4-R_C4[C4], EEG P3-R_P3[P3], EEG PZ-R_Pz[PZ], EEG P4-R_P4[P4], EEG O1-R_O1[O1], EEG OZ-R_Oz[OZ], EEG O2-R_O2[O2], EEG A1-R_A1[A1], EEG A2-R_A2[A2], ECG  2-R_ECG-LA[, EEG 3-R_P7[3], EEG 7-R_Flow[7], EEG 8-R_Abdomen[, EEG 9-R_Chest[9], EEG 11-R_RLEG+[1, EEG 12-R_E2[12], SAO2 SpO2, POSITION DC1, EEG 16-R_PPG[16], EEG 19-R_P8[19], EEG 20-R_T7[20], EEG 21-R_T8[21], EEG 22-R_X25[22], EEG 23-R_X26[23], EEG 24-R_X28[24], EEG 25-R_X29[25], EEG 26-R_X30[26], EEG 27-R_X31[27], EEG 28-R_X32[28], EEG 29-R_ECG-RA[, EEG 30-R_ECG-LL[, EEG 31-R_ECG-V1[, EEG 32-R_ECG-V2[, EEG 33-R_E1[33], EEG 34-R_CHIN1[3, EEG 35-R_CHIN2[3, EEG 36-R_CHINz[3, EEG 37-R_DIF1+[3, EEG 38-R_DIF1-[3, EEG 39-R_DIF2+[3, EEG 40-R_DIF2-[4, EEG 41-R_DIF3+[4, EEG 42-R_DIF3-[4",512.0,597.0,"3A(eventComment)(x1), 0(eventComment)(x5), 3B(eventComment)(x1), R(eventComment)(x7), 4(eventComment)(x1), 5(eventComment)(x1), 6(eventComment)(x1)",
raweeg_01m/B02_00/B02_00.edf,53,"EEG FP1-R_Fp1[FP, EEG FPZ-R_Fpz[FP, EEG FP2-R_Fp2[FP, EEG F7-R_F7[F7], EEG F3-R_F3[F3], EEG FZ-R_Fz[FZ], EEG F4-R_F4[F4], EEG F8-R_F8[F8], EEG C3-R_C3[C3], EEG CZ-R_Cz[CZ], EEG C4-R_C4[C4], EEG P3-R_P3[P3], EEG PZ-R_Pz[PZ], EEG P4-R_P4[P4], EEG O1-R_O1[O1], EEG OZ-R_Oz[OZ], EEG O2-R_O2[O2], EEG A1-R_A1[A1], EEG A2-R_A2[A2], ECG  2-R_ECG-LA[, EEG 3-R_P7[3], EEG 7-R_Flow[7], EEG 8-R_Abdomen[, EEG 9-R_Chest[9], EEG 11-R_RLEG+[1, EEG 12-R_E2[12], SAO2 SpO2, POSITION DC1, EEG 16-R_PPG[16], EEG 19-R_P8[19], EEG 20-R_T7[20], EEG 21-R_T8[21], EEG 22-R_X25[22], EEG 23-R_X26[23], EEG 24-R_X28[24], EEG 25-R_X29[25], EEG 26-R_X30[26], EEG 27-R_X31[27], EEG 28-R_X32[28], EEG 29-R_ECG-RA[, EEG 30-R_ECG-LL[, EEG 31-R_ECG-V1[, EEG 32-R_ECG-V2[, EEG 33-R_E1[33], EEG 34-R_CHIN1[3, EEG 35-R_CHIN2[3, EEG 36-R_CHINz[3, EEG 37-R_DIF1+[3, EEG 38-R_DIF1-[3, EEG 39-R_DIF2+[3, EEG 40-R_DIF2-[4, EEG 41-R_DIF3+[4, EEG 42-R_DIF3-[4",512.0,597.0,"1(eventComment)(x1), 2(eventComment)(x1), R(eventComment)(x2), 3A(eventComment)(x1), 0(eventComment)(x1)",
raweeg_01m/B02_01T/B02_01TR1.edf,53,"EEG FP1-R_Fp1[FP, EEG FPZ-R_Fpz[FP, EEG FP2-R_Fp2[FP, EEG F7-R_F7[F7], EEG F3-R_F3[F3], EEG FZ-R_Fz[FZ], EEG F4-R_F4[F4], EEG F8-R_F8[F8], EEG C3-R_C3[C3], EEG CZ-R_Cz[CZ], EEG C4-R_C4[C4], EEG P3-R_P3[P3], EEG PZ-R_Pz[PZ], EEG P4-R_P4[P4], EEG O1-R_O1[O1], EEG OZ-R_Oz[OZ], EEG O2-R_O2[O2], EEG A1-R_A1[A1], EEG A2-R_A2[A2], ECG  2-R_ECG-LA[, EEG 3-R_P7[3], EEG 7-R_Flow[7], EEG 8-R_Abdomen[, EEG 9-R_Chest[9], EEG 11-R_RLEG+[1, EEG 12-R_E2[12], SAO2 SpO2, POSITION DC1, EEG 16-R_PPG[16], EEG 19-R_P8[19], EEG 20-R_T7[20], EEG 21-R_T8[21], EEG 22-R_X25[22], EEG 23-R_X26[23], EEG 24-R_X28[24], EEG 25-R_X29[25], EEG 26-R_X30[26], EEG 27-R_X31[27], EEG 28-R_X32[28], EEG 29-R_ECG-RA[, EEG 30-R_ECG-LL[, EEG 31-R_ECG-V1[, EEG 32-R_ECG-V2[, EEG 33-R_E1[33], EEG 34-R_CHIN1[3, EEG 35-R_CHIN2[3, EEG 36-R_CHINz[3, EEG 37-R_DIF1+[3, EEG 38-R_DIF1-[3, EEG 39-R_DIF2+[3, EEG 40-R_DIF2-[4, EEG 41-R_DIF3+[4, EEG 42-R_DIF3-[4",512.0,597.0,"1(eventComment)(x1), 2(eventComment)(x1), R(eventComment)(x6), 3A(eventComment)(x1), 0(eventComment)(x3), 3B(eventComment)(x1), 4(eventComment)(x1), 5(eventComment)(x1)",
raweeg_01m/B02_01T/B02_01TR2.edf,53,"EEG FP1-R_Fp1[FP, EEG FPZ-R_Fpz[FP, EEG FP2-R_Fp2[FP, EEG F7-R_F7[F7], EEG F3-R_F3[F3], EEG FZ-R_Fz[FZ], EEG F4-R_F4[F4], EEG F8-R_F8[F8], EEG C3-R_C3[C3], EEG CZ-R_Cz[CZ], EEG C4-R_C4[C4], EEG P3-R_P3[P3], EEG PZ-R_Pz[PZ], EEG P4-R_P4[P4], EEG O1-R_O1[O1], EEG OZ-R_Oz[OZ], EEG O2-R_O2[O2], EEG A1-R_A1[A1], EEG A2-R_A2[A2], ECG  2-R_ECG-LA[, EEG 3-R_P7[3], EEG 7-R_Flow[7], EEG 8-R_Abdomen[, EEG 9-R_Chest[9], EEG 11-R_RLEG+[1, EEG 12-R_E2[12], SAO2 SpO2, POSITION DC1, EEG 16-R_PPG[16], EEG 19-R_P8[19], EEG 20-R_T7[20], EEG 21-R_T8[21], EEG 22-R_X25[22], EEG 23-R_X26[23], EEG 24-R_X28[24], EEG 25-R_X29[25], EEG 26-R_X30[26], EEG 27-R_X31[27], EEG 28-R_X32[28], EEG 29-R_ECG-RA[, EEG 30-R_ECG-LL[, EEG 31-R_ECG-V1[, EEG 32-R_ECG-V2[, EEG 33-R_E1[33], EEG 34-R_CHIN1[3, EEG 35-R_CHIN2[3, EEG 36-R_CHINz[3, EEG 37-R_DIF1+[3, EEG 38-R_DIF1-[3, EEG 39-R_DIF2+[3, EEG 40-R_DIF2-[4, EEG 41-R_DIF3+[4, EEG 42-R_DIF3-[4",512.0,522.0,"3A(eventComment)(x1), 0(eventComment)(x5), 3B(eventComment)(x1), R(eventComment)(x8), 4(eventComment)(x1), 5(eventComment)(x1), 6(eventComment)(x1)",
raweeg_01m/B02_01T/B02_01TR3.edf,53,"EEG FP1-R_Fp1[FP, EEG FPZ-R_Fpz[FP, EEG FP2-R_Fp2[FP, EEG F7-R_F7[F7], EEG F3-R_F3[F3], EEG FZ-R_Fz[FZ], EEG F4-R_F4[F4], EEG F8-R_F8[F8], EEG C3-R_C3[C3], EEG CZ-R_Cz[CZ], EEG C4-R_C4[C4], EEG P3-R_P3[P3], EEG PZ-R_Pz[PZ], EEG P4-R_P4[P4], EEG O1-R_O1[O1], EEG OZ-R_Oz[OZ], EEG O2-R_O2[O2], EEG A1-R_A1[A1], EEG A2-R_A2[A2], ECG  2-R_ECG-LA[, EEG 3-R_P7[3], EEG 7-R_Flow[7], EEG 8-R_Abdomen[, EEG 9-R_Chest[9], EEG 11-R_RLEG+[1, EEG 12-R_E2[12], SAO2 SpO2, POSITION DC1, EEG 16-R_PPG[16], EEG 19-R_P8[19], EEG 20-R_T7[20], EEG 21-R_T8[21], EEG 22-R_X25[22], EEG 23-R_X26[23], EEG 24-R_X28[24], EEG 25-R_X29[25], EEG 26-R_X30[26], EEG 27-R_X31[27], EEG 28-R_X32[28], EEG 29-R_ECG-RA[, EEG 30-R_ECG-LL[, EEG 31-R_ECG-V1[, EEG 32-R_ECG-V2[, EEG 33-R_E1[33], EEG 34-R_CHIN1[3, EEG 35-R_CHIN2[3, EEG 36-R_CHINz[3, EEG 37-R_DIF1+[3, EEG 38-R_DIF1-[3, EEG 39-R_DIF2+[3, EEG 40-R_DIF2-[4, EEG 41-R_DIF3+[4, EEG 42-R_DIF3-[4",512.0,597.0,"3A(eventComment)(x1), 0(eventComment)(x5), 3B(eventComment)(x1), R(eventComment)(x7), 4(eventComment)(x1), 5(eventComment)(x1), 6(eventComment)(x1)",
raweeg_01m/B04_00/B04_00R1.edf,53,"EEG FP1-R_Fp1[FP, EEG FPZ-R_Fpz[FP, EEG FP2-R_Fp2[FP, EEG F7-R_F7[F7], EEG F3-R_F3[F3], EEG FZ-R_Fz[FZ], EEG F4-R_F4[F4], EEG F8-R_F8[F8], EEG C3-R_C3[C3], EEG CZ-R_Cz[CZ], EEG C4-R_C4[C4], EEG P3-R_P3[P3], EEG PZ-R_Pz[PZ], EEG P4-R_P4[P4], EEG O1-R_O1[O1], EEG OZ-R_Oz[OZ], EEG O2-R_O2[O2], EEG A1-R_A1[A1], EEG A2-R_A2[A2], ECG  2-R_ECG-LA[, EEG 3-R_P7[3], EEG 7-R_Flow[7], EEG 8-R_Abdomen[, EEG 9-R_Chest[9], EEG 11-R_RLEG+[1, EEG 12-R_E2[12], SAO2 SpO2, POSITION DC1, EEG 16-R_PPG[16], EEG 19-R_P8[19], EEG 20-R_T7[20], EEG 21-R_T8[21], EEG 22-R_X25[22], EEG 23-R_X26[23], EEG 24-R_X28[24], EEG 25-R_X29[25], EEG 26-R_X30[26], EEG 27-R_X31[27], EEG 28-R_X32[28], EEG 29-R_ECG-RA[, EEG 30-R_ECG-LL[, EEG 31-R_ECG-V1[, EEG 32-R_ECG-V2[, EEG 33-R_E1[33], EEG 34-R_CHIN1[3, EEG 35-R_CHIN2[3, EEG 36-R_CHINz[3, EEG 37-R_DIF1+[3, EEG 38-R_DIF1-[3, EEG 39-R_DIF2+[3, EEG 40-R_DIF2-[4, EEG 41-R_DIF3+[4, EEG 42-R_DIF3-[4",512.0,597.0,"1(eventComment)(x1), 2(eventComment)(x1), R(eventComment)(x6), 3A(eventComment)(x1), 0(eventComment)(x3), 3B(eventComment)(x1), 4(eventComment)(x1)",
raweeg_01m/B04_00/B04_00R2.edf,53,"EEG FP1-R_Fp1[FP, EEG FPZ-R_Fpz[FP, EEG FP2-R_Fp2[FP, EEG F7-R_F7[F7], EEG F3-R_F3[F3], EEG FZ-R_Fz[FZ], EEG F4-R_F4[F4], EEG F8-R_F8[F8], EEG C3-R_C3[C3], EEG CZ-R_Cz[CZ], EEG C4-R_C4[C4], EEG P3-R_P3[P3], EEG PZ-R_Pz[PZ], EEG P4-R_P4[P4], EEG O1-R_O1[O1], EEG OZ-R_Oz[OZ], EEG O2-R_O2[O2], EEG A1-R_A1[A1], EEG A2-R_A2[A2], ECG  2-R_ECG-LA[, EEG 3-R_P7[3], EEG 7-R_Flow[7], EEG 8-R_Abdomen[, EEG 9-R_Chest[9], EEG 11-R_RLEG+[1, EEG 12-R_E2[12], SAO2 SpO2, POSITION DC1, EEG 16-R_PPG[16], EEG 19-R_P8[19], EEG 20-R_T7[20], EEG 21-R_T8[21], EEG 22-R_X25[22], EEG 23-R_X26[23], EEG 24-R_X28[24], EEG 25-R_X29[25], EEG 26-R_X30[26], EEG 27-R_X31[27], EEG 28-R_X32[28], EEG 29-R_ECG-RA[, EEG 30-R_ECG-LL[, EEG 31-R_ECG-V1[, EEG 32-R_ECG-V2[, EEG 33-R_E1[33], EEG 34-R_CHIN1[3, EEG 35-R_CHIN2[3, EEG 36-R_CHINz[3, EEG 37-R_DIF1+[3, EEG 38-R_DIF1-[3, EEG 39-R_DIF2+[3, EEG 40-R_DIF2-[4, EEG 41-R_DIF3+[4, EEG 42-R_DIF3-[4",512.0,597.0,"3A(eventComment)(x1), 0(eventComment)(x5), 3B(eventComment)(x1), R(eventComment)(x8), 4(eventComment)(x1), 5(eventComment)(x1), 6(eventComment)(x1)",
raweeg_01m/B04_00/B04_00R3.edf,53,"EEG FP1-R_Fp1[FP, EEG FPZ-R_Fpz[FP, EEG FP2-R_Fp2[FP, EEG F7-R_F7[F7], EEG F3-R_F3[F3], EEG FZ-R_Fz[FZ], EEG F4-R_F4[F4], EEG F8-R_F8[F8], EEG C3-R_C3[C3], EEG CZ-R_Cz[CZ], EEG C4-R_C4[C4], EEG P3-R_P3[P3], EEG PZ-R_Pz[PZ], EEG P4-R_P4[P4], EEG O1-R_O1[O1], EEG OZ-R_Oz[OZ], EEG O2-R_O2[O2], EEG A1-R_A1[A1], EEG A2-R_A2[A2], ECG  2-R_ECG-LA[, EEG 3-R_P7[3], EEG 7-R_Flow[7], EEG 8-R_Abdomen[, EEG 9-R_Chest[9], EEG 11-R_RLEG+[1, EEG 12-R_E2[12], SAO2 SpO2, POSITION DC1, EEG 16-R_PPG[16], EEG 19-R_P8[19], EEG 20-R_T7[20], EEG 21-R_T8[21], EEG 22-R_X25[22], EEG 23-R_X26[23], EEG 24-R_X28[24], EEG 25-R_X29[25], EEG 26-R_X30[26], EEG 27-R_X31[27], EEG 28-R_X32[28], EEG 29-R_ECG-RA[, EEG 30-R_ECG-LL[, EEG 31-R_ECG-V1[, EEG 32-R_ECG-V2[, EEG 33-R_E1[33], EEG 34-R_CHIN1[3, EEG 35-R_CHIN2[3, EEG 36-R_CHINz[3, EEG 37-R_DIF1+[3, EEG 38-R_DIF1-[3, EEG 39-R_DIF2+[3, EEG 40-R_DIF2-[4, EEG 41-R_DIF3+[4, EEG 42-R_DIF3-[4",512.0,560.0,"3A(eventComment)(x1), 0(eventComment)(x5), 3B(eventComment)(x1), R(eventComment)(x8), 4(eventComment)(x1), 5(eventComment)(x1), 6(eventComment)(x1)",
raweeg_01m/B04_01T/B04_01TR2.edf,53,"EEG FP1-R_Fp1[FP, EEG FPZ-R_Fpz[FP, EEG FP2-R_Fp2[FP, EEG F7-R_F7[F7], EEG F3-R_F3[F3], EEG FZ-R_Fz[FZ], EEG F4-R_F4[F4], EEG F8-R_F8[F8], EEG C3-R_C3[C3], EEG CZ-R_Cz[CZ], EEG C4-R_C4[C4], EEG P3-R_P3[P3], EEG PZ-R_Pz[PZ], EEG P4-R_P4[P4], EEG O1-R_O1[O1], EEG OZ-R_Oz[OZ], EEG O2-R_O2[O2], EEG A1-R_A1[A1], EEG A2-R_A2[A2], ECG  2-R_ECG-LA[, EEG 3-R_P7[3], EEG 7-R_Flow[7], EEG 8-R_Abdomen[, EEG 9-R_Chest[9], EEG 11-R_RLEG+[1, EEG 12-R_E2[12], SAO2 SpO2, POSITION DC1, EEG 16-R_PPG[16], EEG 19-R_P8[19], EEG 20-R_T7[20], EEG 21-R_T8[21], EEG 22-R_X25[22], EEG 23-R_X26[23], EEG 24-R_X28[24], EEG 25-R_X29[25], EEG 26-R_X30[26], EEG 27-R_X31[27], EEG 28-R_X32[28], EEG 29-R_ECG-RA[, EEG 30-R_ECG-LL[, EEG 31-R_ECG-V1[, EEG 32-R_ECG-V2[, EEG 33-R_E1[33], EEG 34-R_CHIN1[3, EEG 35-R_CHIN2[3, EEG 36-R_CHINz[3, EEG 37-R_DIF1+[3, EEG 38-R_DIF1-[3, EEG 39-R_DIF2+[3, EEG 40-R_DIF2-[4, EEG 41-R_DIF3+[4, EEG 42-R_DIF3-[4",512.0,593.0,"3A(eventComment)(x1), 0(eventComment)(x5), 3B(eventComment)(x1), R(eventComment)(x8), 4(eventComment)(x1), 5(eventComment)(x1), 6(eventComment)(x1)",
raweeg_01m/B04_01T/B04_01TR3.edf,53,"EEG FP1-R_Fp1[FP, EEG FPZ-R_Fpz[FP, EEG FP2-R_Fp2[FP, EEG F7-R_F7[F7], EEG F3-R_F3[F3], EEG FZ-R_Fz[FZ], EEG F4-R_F4[F4], EEG F8-R_F8[F8], EEG C3-R_C3[C3], EEG CZ-R_Cz[CZ], EEG C4-R_C4[C4], EEG P3-R_P3[P3], EEG PZ-R_Pz[PZ], EEG P4-R_P4[P4], EEG O1-R_O1[O1], EEG OZ-R_Oz[OZ], EEG O2-R_O2[O2], EEG A1-R_A1[A1], EEG A2-R_A2[A2], ECG  2-R_ECG-LA[, EEG 3-R_P7[3], EEG 7-R_Flow[7], EEG 8-R_Abdomen[, EEG 9-R_Chest[9], EEG 11-R_RLEG+[1, EEG 12-R_E2[12], SAO2 SpO2, POSITION DC1, EEG 16-R_PPG[16], EEG 19-R_P8[19], EEG 20-R_T7[20], EEG 21-R_T8[21], EEG 22-R_X25[22], EEG 23-R_X26[23], EEG 24-R_X28[24], EEG 25-R_X29[25], EEG 26-R_X30[26], EEG 27-R_X31[27], EEG 28-R_X32[28], EEG 29-R_ECG-RA[, EEG 30-R_ECG-LL[, EEG 31-R_ECG-V1[, EEG 32-R_ECG-V2[, EEG 33-R_E1[33], EEG 34-R_CHIN1[3, EEG 35-R_CHIN2[3, EEG 36-R_CHINz[3, EEG 37-R_DIF1+[3, EEG 38-R_DIF1-[3, EEG 39-R_DIF2+[3, EEG 40-R_DIF2-[4, EEG 41-R_DIF3+[4, EEG 42-R_DIF3-[4",512.0,526.0,"3A(eventComment)(x1), 0(eventComment)(x5), 3B(eventComment)(x1), R(eventComment)(x8), 4(eventComment)(x1), 5(eventComment)(x1), 6(eventComment)(x1)",
raweeg_01m/B08_00/B08_00R1.edf,53,"EEG FP1-R_Fp1[FP, EEG FPZ-R_Fpz[FP, EEG FP2-R_Fp2[FP, EEG F7-R_F7[F7], EEG F3-R_F3[F3], EEG FZ-R_Fz[FZ], EEG F4-R_F4[F4], EEG F8-R_F8[F8], EEG C3-R_C3[C3], EEG CZ-R_Cz[CZ], EEG C4-R_C4[C4], EEG P3-R_P3[P3], EEG PZ-R_Pz[PZ], EEG P4-R_P4[P4], EEG O1-R_O1[O1], EEG OZ-R_Oz[OZ], EEG O2-R_O2[O2], EEG A1-R_A1[A1], EEG A2-R_A2[A2], ECG  2-R_ECG-LA[, EEG 3-R_P7[3], EEG 7-R_Flow[7], EEG 8-R_Abdomen[, EEG 9-R_Chest[9], EEG 11-R_RLEG+[1, EEG 12-R_E2[12], SAO2 SpO2, POSITION DC1, EEG 16-R_PPG[16], EEG 19-R_P8[19], EEG 20-R_T7[20], EEG 21-R_T8[21], EEG 22-R_X25[22], EEG 23-R_X26[23], EEG 24-R_X28[24], EEG 25-R_X29[25], EEG 26-R_X30[26], EEG 27-R_X31[27], EEG 28-R_X32[28], EEG 29-R_ECG-RA[, EEG 30-R_ECG-LL[, EEG 31-R_ECG-V1[, EEG 32-R_ECG-V2[, EEG 33-R_E1[33], EEG 34-R_CHIN1[3, EEG 35-R_CHIN2[3, EEG 36-R_CHINz[3, EEG 37-R_DIF1+[3, EEG 38-R_DIF1-[3, EEG 39-R_DIF2+[3, EEG 40-R_DIF2-[4, EEG 41-R_DIF3+[4, EEG 42-R_DIF3-[4",512.0,597.0,"1(eventComment)(x1), 2(eventComment)(x1), R(eventComment)(x5), 3A(eventComment)(x1), 0(eventComment)(x3), 3B(eventComment)(x1), 4(eventComment)(x1)",
raweeg_01m/B08_00/B08_00R2.edf,53,"EEG FP1-R_Fp1[FP, EEG FPZ-R_Fpz[FP, EEG FP2-R_Fp2[FP, EEG F7-R_F7[F7], EEG F3-R_F3[F3], EEG FZ-R_Fz[FZ], EEG F4-R_F4[F4], EEG F8-R_F8[F8], EEG C3-R_C3[C3], EEG CZ-R_Cz[CZ], EEG C4-R_C4[C4], EEG P3-R_P3[P3], EEG PZ-R_Pz[PZ], EEG P4-R_P4[P4], EEG O1-R_O1[O1], EEG OZ-R_Oz[OZ], EEG O2-R_O2[O2], EEG A1-R_A1[A1], EEG A2-R_A2[A2], ECG  2-R_ECG-LA[, EEG 3-R_P7[3], EEG 7-R_Flow[7], EEG 8-R_Abdomen[, EEG 9-R_Chest[9], EEG 11-R_RLEG+[1, EEG 12-R_E2[12], SAO2 SpO2, POSITION DC1, EEG 16-R_PPG[16], EEG 19-R_P8[19], EEG 20-R_T7[20], EEG 21-R_T8[21], EEG 22-R_X25[22], EEG 23-R_X26[23], EEG 24-R_X28[24], EEG 25-R_X29[25], EEG 26-R_X30[26], EEG 27-R_X31[27], EEG 28-R_X32[28], EEG 29-R_ECG-RA[, EEG 30-R_ECG-LL[, EEG 31-R_ECG-V1[, EEG 32-R_ECG-V2[, EEG 33-R_E1[33], EEG 34-R_CHIN1[3, EEG 35-R_CHIN2[3, EEG 36-R_CHINz[3, EEG 37-R_DIF1+[3, EEG 38-R_DIF1-[3, EEG 39-R_DIF2+[3, EEG 40-R_DIF2-[4, EEG 41-R_DIF3+[4, EEG 42-R_DIF3-[4",512.0,493.0,"3A(eventComment)(x1), 0(eventComment)(x5), 3B(eventComment)(x1), R(eventComment)(x8), 4(eventComment)(x1), 5(eventComment)(x1), 6(eventComment)(x1)",
